PING 160.16.31.100 (160.16.31.100) 56(84) bytes of data.
64 bytes from 160.16.31.100: icmp_seq=1 ttl=64 time=59.6 ms
64 bytes from 160.16.31.100: icmp_seq=2 ttl=64 time=60.9 ms
64 bytes from 160.16.31.100: icmp_seq=3 ttl=64 time=55.1 ms
64 bytes from 160.16.31.100: icmp_seq=4 ttl=64 time=57.5 ms
64 bytes from 160.16.31.100: icmp_seq=5 ttl=64 time=61.5 ms
64 bytes from 160.16.31.100: icmp_seq=6 ttl=64 time=70.3 ms
64 bytes from 160.16.31.100: icmp_seq=7 ttl=64 time=58.8 ms
64 bytes from 160.16.31.100: icmp_seq=8 ttl=64 time=56.3 ms
64 bytes from 160.16.31.100: icmp_seq=9 ttl=64 time=62.6 ms
64 bytes from 160.16.31.100: icmp_seq=10 ttl=64 time=55.0 ms
64 bytes from 160.16.31.100: icmp_seq=11 ttl=64 time=60.6 ms
64 bytes from 160.16.31.100: icmp_seq=12 ttl=64 time=78.7 ms
64 bytes from 160.16.31.100: icmp_seq=13 ttl=64 time=69.8 ms
64 bytes from 160.16.31.100: icmp_seq=14 ttl=64 time=61.4 ms
64 bytes from 160.16.31.100: icmp_seq=15 ttl=64 time=56.4 ms
64 bytes from 160.16.31.100: icmp_seq=16 ttl=64 time=64.4 ms
64 bytes from 160.16.31.100: icmp_seq=17 ttl=64 time=74.6 ms
64 bytes from 160.16.31.100: icmp_seq=18 ttl=64 time=59.2 ms
64 bytes from 160.16.31.100: icmp_seq=19 ttl=64 time=101 ms
64 bytes from 160.16.31.100: icmp_seq=20 ttl=64 time=67.8 ms
64 bytes from 160.16.31.100: icmp_seq=21 ttl=64 time=63.2 ms
64 bytes from 160.16.31.100: icmp_seq=22 ttl=64 time=57.1 ms
64 bytes from 160.16.31.100: icmp_seq=23 ttl=64 time=63.5 ms
64 bytes from 160.16.31.100: icmp_seq=24 ttl=64 time=57.2 ms
64 bytes from 160.16.31.100: icmp_seq=25 ttl=64 time=164 ms
64 bytes from 160.16.31.100: icmp_seq=26 ttl=64 time=70.8 ms
64 bytes from 160.16.31.100: icmp_seq=27 ttl=64 time=59.3 ms
64 bytes from 160.16.31.100: icmp_seq=28 ttl=64 time=64.0 ms
64 bytes from 160.16.31.100: icmp_seq=29 ttl=64 time=74.1 ms
64 bytes from 160.16.31.100: icmp_seq=30 ttl=64 time=79.6 ms
64 bytes from 160.16.31.100: icmp_seq=31 ttl=64 time=60.0 ms
64 bytes from 160.16.31.100: icmp_seq=32 ttl=64 time=65.9 ms
64 bytes from 160.16.31.100: icmp_seq=33 ttl=64 time=75.5 ms
64 bytes from 160.16.31.100: icmp_seq=34 ttl=64 time=57.2 ms
64 bytes from 160.16.31.100: icmp_seq=35 ttl=64 time=55.6 ms
64 bytes from 160.16.31.100: icmp_seq=36 ttl=64 time=70.6 ms
64 bytes from 160.16.31.100: icmp_seq=37 ttl=64 time=56.0 ms
64 bytes from 160.16.31.100: icmp_seq=38 ttl=64 time=57.2 ms
64 bytes from 160.16.31.100: icmp_seq=39 ttl=64 time=117 ms
64 bytes from 160.16.31.100: icmp_seq=40 ttl=64 time=63.7 ms
64 bytes from 160.16.31.100: icmp_seq=41 ttl=64 time=63.2 ms
64 bytes from 160.16.31.100: icmp_seq=42 ttl=64 time=62.8 ms
64 bytes from 160.16.31.100: icmp_seq=43 ttl=64 time=62.1 ms
64 bytes from 160.16.31.100: icmp_seq=44 ttl=64 time=60.4 ms
64 bytes from 160.16.31.100: icmp_seq=45 ttl=64 time=71.2 ms
64 bytes from 160.16.31.100: icmp_seq=46 ttl=64 time=59.0 ms
64 bytes from 160.16.31.100: icmp_seq=47 ttl=64 time=77.4 ms
64 bytes from 160.16.31.100: icmp_seq=48 ttl=64 time=58.8 ms
64 bytes from 160.16.31.100: icmp_seq=49 ttl=64 time=63.0 ms
64 bytes from 160.16.31.100: icmp_seq=50 ttl=64 time=59.5 ms
64 bytes from 160.16.31.100: icmp_seq=51 ttl=64 time=60.2 ms
64 bytes from 160.16.31.100: icmp_seq=52 ttl=64 time=62.9 ms
64 bytes from 160.16.31.100: icmp_seq=53 ttl=64 time=55.2 ms
64 bytes from 160.16.31.100: icmp_seq=54 ttl=64 time=60.7 ms
64 bytes from 160.16.31.100: icmp_seq=55 ttl=64 time=62.6 ms
64 bytes from 160.16.31.100: icmp_seq=56 ttl=64 time=65.4 ms
64 bytes from 160.16.31.100: icmp_seq=57 ttl=64 time=62.5 ms
64 bytes from 160.16.31.100: icmp_seq=58 ttl=64 time=0.000 ms
64 bytes from 160.16.31.100: icmp_seq=59 ttl=64 time=61.5 ms
64 bytes from 160.16.31.100: icmp_seq=60 ttl=64 time=73.3 ms
64 bytes from 160.16.31.100: icmp_seq=61 ttl=64 time=62.4 ms
64 bytes from 160.16.31.100: icmp_seq=62 ttl=64 time=63.2 ms
64 bytes from 160.16.31.100: icmp_seq=63 ttl=64 time=56.6 ms
64 bytes from 160.16.31.100: icmp_seq=64 ttl=64 time=58.6 ms
64 bytes from 160.16.31.100: icmp_seq=65 ttl=64 time=64.2 ms
64 bytes from 160.16.31.100: icmp_seq=66 ttl=64 time=61.4 ms
64 bytes from 160.16.31.100: icmp_seq=67 ttl=64 time=65.1 ms
64 bytes from 160.16.31.100: icmp_seq=68 ttl=64 time=60.2 ms
64 bytes from 160.16.31.100: icmp_seq=69 ttl=64 time=58.7 ms
64 bytes from 160.16.31.100: icmp_seq=70 ttl=64 time=62.0 ms
64 bytes from 160.16.31.100: icmp_seq=71 ttl=64 time=57.5 ms
64 bytes from 160.16.31.100: icmp_seq=72 ttl=64 time=68.7 ms
64 bytes from 160.16.31.100: icmp_seq=73 ttl=64 time=72.4 ms
64 bytes from 160.16.31.100: icmp_seq=74 ttl=64 time=59.4 ms
64 bytes from 160.16.31.100: icmp_seq=75 ttl=64 time=57.6 ms
64 bytes from 160.16.31.100: icmp_seq=76 ttl=64 time=63.5 ms
64 bytes from 160.16.31.100: icmp_seq=77 ttl=64 time=59.8 ms
